Device,Max Clients,Unique Clients,Building
Wainani I 1454A Tmp,4,6,Wainani
Hamilton P2 015 DH,1,1,Hamilton Library
Hamilton P2 015-Acquisitions Dept,4,9,Hamilton Library
Wainani F 1102LR Tmp,4,15,Wainani
Wainani H 362B Temp,0,0,Wainani
Frear D 507C Temp,6,8,Frear
Frear D 207C Temp,4,8,Frear
Frear D 707C Temp,2,4,Frear
Noelani E Store,9,39,Noelani
Lokelani 1058 Temp,8,9,Lokelani
Lehua 1012 Temp,2,10,Lehua
HA Cafe Display Test,3,3,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,2,7,Hale Aloha Cafe
Frear D 1007C Temp,1,2,Frear
Lehua 408 Temp,5,7,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,4,5,Frear
Frear D 807C Temp,3,7,Frear
Frear D 801C,4,4,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,3,4,Sinclair Library
Laulima 311T,5,7,Hale Laulima
Frear D 607C Temp,4,6,Mokihana
Sinclair ACM 191A,0,1,Sinclair Library
Sinclair ACM 193A,0,3,Sinclair Library
Sinclair ACM 192,6,11,Sinclair Library
Sinclair ACM B03 Makai,1,2,Sinclair Library
Sinclair ACM 194,2,16,Sinclair Library
Sinclair ACM B08D,1,3,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,7,108,Kennedy
Crawford ECB Outdoor,2,39,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,15,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,2,22,Gateway
Spalding 256,3,6,Spalding Hall
Moore 328,1,9,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,0,3,Moore Hall
Moore 453 Hallway,1,1,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,1,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,3,23,Moore Hall
Moore 386 Hallway,0,0,Moore Hall
Moore 426,0,1,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Holmes 102MD,0,0,Holmes Hall
Holmes 411,1,2,Holmes Hall
Holmes BET,0,0,Holmes Hall
Holmes 101A,3,7,Holmes Hall
Holmes 240 Ewa,0,0,Holmes Hall
Holmes 243,1,3,Holmes Hall
Holmes 248,0,0,Holmes Hall
Holmes 246,2,3,Holmes Hall
Holmes 244A,1,2,Holmes Hall
Holmes 491,0,0,Holmes Hall
Holmes 242 Makai,0,0,Holmes Hall
Holmes 240K Hallway,2,5,Holmes Hall
Holmes 140,1,3,Holmes Hall
Holmes 102B,0,1,Holmes Hall
Holmes 406A,0,0,Holmes Hall
Holmes 487,6,6,Holmes Hall
Holmes 206A,3,6,Holmes Hall
Holmes 411 Hallway,2,11,Holmes Hall
Holmes 141 Hallway,2,42,Holmes Hall
Holmes 102,0,3,Holmes Hall
Holmes 241,0,0,Holmes Hall
Holmes 210,4,5,Holmes Hall
Holmes 211 Mauka,0,2,Holmes Hall
Holmes 144,2,6,Holmes Hall
Holmes 2nd Fl Ewa Commons,3,32,Holmes Hall
Holmes 240 DH,0,0,Holmes Hall
Holmes 244 Makai,1,1,Holmes Hall
Holmes 101 Hallway,2,45,Holmes Hall
Holmes 143C,0,6,Holmes Hall
HIG Makai-DH Exterior,3,44,HIG
Holmes 206 Hallway,5,9,Holmes Hall
Holmes 412,0,0,Holmes Hall
PSB 111,0,6,Physical Science Building
PSB 217 Makai Ewa,0,1,Physical Science Building
Watanabe 213 Hallway,1,4,Watanabe
PSB 402 Hallway,0,2,Physical Science Building
PSB 110,0,6,Physical Science Building
PSB 213,1,2,Physical Science Building
PSB 102 Hallway,1,13,Physical Science Building
PSB 208 DH,0,0,Physical Science Building
PSB Ewa Exterior Makai,5,71,Physical Science Building
Watanabe 209 Hallway,3,5,Watanabe
PSB 202 Hallway,0,2,Physical Science Building
Watanabe 112 DH,3,5,Watanabe
Watanabe 110,1,5,Watanabe
PSB 217 Mauka Ewa,0,1,Physical Science Building
PSB 217 Makai DH,1,1,Physical Science Building
PSB 210A,0,2,Physical Science Building
PSB 214,0,0,Physical Science Building
Watanabe 229 Hallway,1,12,Watanabe
PSB Ewa Exterior Mauka,2,40,Physical Science Building
PSB 112,1,7,Physical Science Building
PSB 211,2,2,Physical Science Building
PSB 407 Hallway,1,2,Physical Science Building
PSB 306 Hallway,1,5,Physical Science Building
PSB 319 Hallway,7,9,Physical Science Building
PSB 311 DH,0,0,Physical Science Building
Watanabe 109,3,18,Watanabe
PSB 310 DH,0,0,Physical Science Building
Watanabe 333 Hallway,2,2,Watanabe
Watanabe 412 Hallway,4,5,Watanabe
Watanabe 330 Hallway,0,5,Watanabe
Watanabe 437 Hallway,1,1,Watanabe
PSB 317,0,3,Physical Science Building
PSB 310 Ewa,0,2,Physical Science Building
Watanabe 217 Hallway,1,6,Watanabe
Watanabe 112 Ewa,2,5,Watanabe
Watanabe 404 Hallway,1,2,Watanabe
Watanabe 432 Hallway,3,7,Watanabe
PSB 108,1,7,Physical Science Building
PSB 209,1,7,Physical Science Building
Watanabe 420 Ewa,1,1,Watanabe
PSB 313,0,2,Physical Science Building
Watanabe 302 Hallway,4,6,Watanabe
Watanabe 234 Hallway,1,8,Watanabe
Watanabe 310 Hallway,1,4,Watanabe
Watanabe 420 DH,0,0,Watanabe
PSB 217 Mauka DH,0,0,Physical Science Building
Watanabe 202 Hallway,0,0,Watanabe
Watanabe 205 Hallway,1,3,Watanabe
Watanabe 312 Hallway,3,5,Watanabe
PSB 314,0,1,Physical Science Building
Watanabe 306 Hallway,4,10,Watanabe
PSB 309A,1,3,Physical Science Building
Watanabe 113,0,1,Watanabe
PSB 312C,3,4,Physical Science Building
Watanabe 336 Hallway,2,2,Watanabe
PSB 208 Ewa,0,0,Physical Science Building
Watanabe 327 Hallway,0,7,Watanabe
PSB 311 Ewa Makai,0,1,Physical Science Building
Watanabe 416,0,2,Watanabe
Keller 206,0,5,Keller
Watanabe 428 Hallway,3,5,Watanabe
Keller 3rd Fl Lounge,3,60,Keller
Watanabe 114,1,12,Watanabe
Keller 218,1,13,Keller
Keller 103 LAVA,0,0,Keller
Watanabe 415,2,5,Watanabe
Watanabe 225 Hallway,4,7,Watanabe
Keller 219,4,35,Keller
Keller 401A Hallway,1,1,Keller
Keller 301A Hallway,1,4,Keller
Keller 413,1,2,Keller
Keller 402,1,2,Keller
Keller 303 Ewa,3,13,Keller
Keller 214,2,13,Keller
Keller 213,0,2,Keller
Keller 304A Hallway,1,4,Keller
Keller 304 Hallway,0,2,Keller
Keller 313,1,15,Keller
Keller 301,2,31,Keller
Keller 302 DH,1,20,Keller
Keller 302 Ewa,0,11,Keller
Keller 303 DH,2,21,Keller
Keller 403 Hallway,1,8,Keller
Keller 314,1,6,Keller
Keller 414,0,3,Keller
Keller 403,1,4,Keller
Keller 401,2,15,Keller
Bilger Hall 319 Makai,0,3,Bilger Hall
Bilger Hall 309,5,18,Bilger Hall
Keller 102 Makai Ewa,1,2,Keller
Keller 102 Makai DH,2,2,Keller
Keller 102 Mauka,1,4,Keller
Keller 201,2,2,Keller
Keller 404,1,3,Keller
Bilger Hall 335 Mauka DH,0,1,Bilger Hall
Bilger Hall 201,1,12,Bilger Hall
Keller 406,0,4,Keller
Bilger Hall 212,4,11,Bilger Hall
Bilger Hall 337,0,1,Bilger Hall
Keller 209,3,9,Keller
Bilger Hall 314,4,9,Bilger Hall
Bilger Hall 239 Hallway,6,13,Bilger Hall
Keller 203,3,64,Keller
Bilger Hall 335 Mauka Ewa,0,3,Bilger Hall
Keller 103 Vault,0,1,Keller
Keller 204,3,5,Keller
Bilger Hall 341A,1,1,Bilger Hall
Bilger Hall 152 Ewa Mauka,1,4,Bilger Hall
Bilger Hall 116,1,5,Bilger Hall
Bilger Hall 150 Ewa,0,4,Bilger Hall
Bilger Hall 112,2,15,Bilger Hall
Bilger Hall 311A,5,10,Bilger Hall
Bilger Hall 335 Makai Ewa,2,7,Bilger Hall
Bilger Addition 217 Hallway,3,11,Bilger Addition
Krauss 101B Hallway,1,7,Krauss
Bilger Hall 207,3,5,Bilger Hall
Bilger Addition 103 Hallway,3,8,Bilger Addition
Bilger Addition 105 Hallway,1,10,Bilger Addition
Bilger Addition 405 Hallway,4,7,Bilger Addition
Bilger Hall 152 DH Mauka,1,13,Bilger Hall
Bilger Hall 235 Hallway,1,17,Bilger Hall
Bilger Hall 107,2,10,Bilger Hall
Bilger Hall 150 Mauka,1,5,Bilger Hall
Bilger Hall 335 Makai DH,0,1,Bilger Hall
Krauss 014,0,1,Krauss
Bilger Hall 152 DH Makai,1,4,Bilger Hall
Bilger Hall 214,0,1,Bilger Hall
Krauss 120,0,3,Krauss
Bilger Hall 247 Hallway,2,4,Bilger Hall
Bilger Hall 319 Mauka,2,4,Bilger Hall
Krauss 023,5,9,Krauss
Bilger Hall 321,3,9,Bilger Hall
Bilger Hall 205,2,13,Bilger Hall
Bilger Hall 251,2,9,Bilger Hall
Krauss 011,0,0,Krauss
Krauss 002 Gallery,1,10,Krauss
Bilger Addition 214 Hallway,2,50,Bilger Addition
Bilger Hall 152 Ewa Makai,0,4,Bilger Hall
Krauss 004A,3,31,Krauss
Bilger Hall 303 Hallway,5,30,Bilger Hall
Krauss 110,1,24,Krauss
Bilger Hall 301,1,3,Bilger Hall
Bilger Addition 303 Hallway,2,7,Bilger Addition
Krauss 101J Hallway,1,6,Krauss
Bilger Hall 202,0,12,Bilger Hall
Bilger Hall 338,0,8,Bilger Hall
Bilger Hall 341,0,0,Bilger Hall
Krauss 001,0,13,Krauss
Bilger Addition 001 Hallway,0,1,Bilger Addition
Bilger Addition 211 Hallway,2,27,Bilger Addition
Bilger Hall 245 Hallway,3,5,Bilger Hall
Bilger Addition 416 Hallway,2,8,Bilger Addition
Bilger Addition 118 Hallway,1,18,Bilger Addition
Bilger Hall 119,1,10,Bilger Hall
Bilger Addition 206 Hallway,0,6,Bilger Addition
Krauss 017A Hallway,0,0,Krauss
Bilger Addition 012,1,4,Bilger Addition
Krauss 003,2,34,Krauss
Krauss Annex U Rm 7,1,15,Krauss
