Device,Max Clients,Unique Clients,Buildings
Hamilton P2 015 DH,0,0,Hamilton Library
Hamilton P2 015-Acquisitions Dept,0,0,Hamilton Library
Wainani F 1102LR Tmp,3,4,Wainani
Wainani H 362B Temp,0,0,Wainani
Frear D 507C Temp,4,4,Frear
Frear D 207C Temp,3,6,Frear
Frear D 707C Temp,2,3,Frear
Noelani E Store,5,4,Noelani
Lokelani 1058 Temp,5,6,Lokelani
Lehua 1012 Temp,2,3,Lehua
HA Cafe Display Test,2,2,Hale Aloha Cafe
Hale Aloha-Cafeteria Storage,0,0,Hale Aloha Cafe
Frear D 1007C Temp,1,1,Frear
Lehua 408 Temp,3,4,Lehua
Frear D 1201C,0,0,Frear
Frear D 601C,3,5,Frear
Frear D 807C Temp,1,1,Frear
Frear D 801C,3,3,Frear
Frear Closet install 1 TEMP (NO SIMP),0,0,Frear
Sinclair ACM 193,1,1,Sinclair Library
Laulima 311T,2,2,Hale Laulima
Frear D 607C Temp,3,3,Mokihana
Sinclair ACM 191A,2,2,Sinclair Library
Sinclair ACM 193A,0,0,Sinclair Library
Sinclair ACM 192,4,5,Sinclair Library
Sinclair ACM B03 Makai,0,0,Sinclair Library
Sinclair ACM 194,1,1,Sinclair Library
Sinclair ACM B08D,0,0,Sinclair Library
Sinclair ACM B08 DH,0,0,Sinclair Library
Kennedy ECB Outdoor,1,7,Kennedy
Crawford ECB Outdoor,1,4,Architecture-Hawaii Hall Outdoor Lawn
Architecture_outdoor,1,1,Architecture-Hawaii Hall Outdoor Lawn
Sodexo Gateway Office AP,0,0,Gateway
Spalding 256,1,1,Spalding Hall
Moore 328,0,0,Moore Hall
Moore 316,0,0,Moore Hall
Moore 323 Hallway,0,0,Moore Hall
Moore 460 Hallway,0,0,Moore Hall
Moore 370 Hallway,0,0,Moore Hall
Moore 453 Hallway,0,0,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,0,4,Moore Hall
Moore 386 Hallway,0,0,Moore Hall
Moore 426,0,0,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,1,1,Moore Hall
Moore 402 Hallway,0,0,Moore Hall
Moore 257,0,0,Moore Hall
Moore 255 Hallway,0,0,Moore Hall
Moore 457 Hallway,1,1,Moore Hall
Moore 585 Hallway,1,1,Moore Hall
Moore 464 Hallway,1,1,Moore Hall
Moore 432 Hallway,5,6,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,0,0,Moore Hall
Moore 428,0,0,Moore Hall
Moore 455 Hallway,0,0,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,0,Moore Hall
Moore 107,1,1,Moore Hall
Moore 560 Hallway,0,0,Moore Hall
Moore 155B,1,1,Moore Hall
Moore 470,0,0,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,2,Moore Hall
Moore 225,0,0,Moore Hall
Moore 153B,0,3,Moore Hall
Moore 152,0,2,Moore Hall
Moore 153A,3,5,Moore Hall
Moore 262,0,0,Moore Hall
Moore 103,0,0,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,1,Moore Hall
Moore 104 Hallway,1,1,Moore Hall
Moore 321 Hallway,0,0,Moore Hall
Moore 109,0,0,Moore Hall
Moore 162,0,0,Moore Hall
Moore 370,0,0,Moore Hall
Moore 575 Hallway,0,0,Moore Hall
Moore 256 DH,0,0,Moore Hall
Moore 156,0,0,Moore Hall
Moore 360 Hallway,2,2,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,1,1,Moore Hall
Moore 115,0,0,Moore Hall
Moore 423 Makai,0,0,Moore Hall
Moore 326,0,0,Moore Hall
Moore 423 Mauka,1,1,Moore Hall
Moore 112,0,0,Moore Hall
Moore 256 Ewa,2,3,Moore Hall
Moore 253,0,2,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,0,0,Moore Hall
Moore 218 Hallway,0,0,Moore Hall
Moore 161,1,1,Moore Hall
Moore 258,0,0,Moore Hall
Moore 570,1,1,Moore Hall
Moore 481 Hallway,1,1,Moore Hall
Moore 496 Hallway,0,0,Moore Hall
Moore 417,1,1,Moore Hall
