Device,Max Clients,Unique Clients,Building
Moore 460 Hallway,1,2,Moore Hall
Moore 370 Hallway,0,0,Moore Hall
Moore 453 Hallway,2,2,Moore Hall
Moore 483 Hallway,0,0,Moore Hall
Moore 308,0,0,Moore Hall
Moore 323,0,0,Moore Hall
Moore 251,4,14,Moore Hall
Moore 386 Hallway,3,3,Moore Hall
Moore 426,0,1,Moore Hall
Moore 310 Hallway,1,1,Moore Hall
Moore 352 Hallway,0,0,Moore Hall
Moore 393 Hallway,0,0,Moore Hall
Moore 383 Hallway,1,2,Moore Hall
Moore 402 Hallway,4,5,Moore Hall
Moore 257,0,1,Moore Hall
Moore 255 Hallway,1,2,Moore Hall
Moore 457 Hallway,1,1,Moore Hall
Moore 585 Hallway,5,6,Moore Hall
Moore 464 Hallway,0,0,Moore Hall
Moore 432 Hallway,3,4,Moore Hall
Moore 365 Hallway,1,1,Moore Hall
Moore 570 Hallway,2,7,Moore Hall
Moore 428,3,4,Moore Hall
Moore 455 Hallway,1,2,Moore Hall
Moore 416,0,0,Moore Hall
Moore 319,0,1,Moore Hall
Moore 107,2,6,Moore Hall
Moore 560 Hallway,4,6,Moore Hall
Moore 155B,2,3,Moore Hall
Moore 470,2,2,Moore Hall
Moore 325,0,0,Moore Hall
Moore 372 Hallway,1,1,Moore Hall
Moore 225,0,7,Moore Hall
Moore 153B,1,11,Moore Hall
Moore 152,1,6,Moore Hall
Moore 153A,3,11,Moore Hall
Moore 262,0,1,Moore Hall
Moore 103,0,3,Moore Hall
Moore 331 Hallway,0,0,Moore Hall
Moore 553 Hallway,1,3,Moore Hall
Moore 104 Hallway,1,2,Moore Hall
Moore 321 Hallway,0,0,Moore Hall
Moore 109,2,10,Moore Hall
Moore 162,0,0,Moore Hall
Moore 370,0,1,Moore Hall
Moore 575 Hallway,3,5,Moore Hall
Moore 256 DH,4,8,Moore Hall
Moore 156,3,5,Moore Hall
Moore 360 Hallway,4,4,Moore Hall
Moore 302 Hallway,0,0,Moore Hall
Moore 573 Hallway,1,2,Moore Hall
Moore 115,1,1,Moore Hall
Moore 423 Makai,1,2,Moore Hall
Moore 326,0,1,Moore Hall
Moore 423 Mauka,1,2,Moore Hall
Moore 112,1,7,Moore Hall
Moore 256 Ewa,3,19,Moore Hall
Moore 253,1,5,Moore Hall
Moore 2ndFlIDF Makai,0,0,Moore Hall
Moore 572,1,1,Moore Hall
Moore 218 Hallway,1,2,Moore Hall
Moore 161,2,5,Moore Hall
Moore 258,1,3,Moore Hall
Moore 570,5,5,Moore Hall
